Keyword;Suchvolumen (DE);Wettbewerb;Relevanz;Ziel-URL
"einfache Rezepte";Hoch;Mittel;Hoch;https://doclion.github.io/einfache-rezepte
"schnelle Rezepte Feierabend";Mittel;Gering;Hoch;https://doclion.github.io/einfache-rezepte/schnelle-tomatensosse-nudeln/
"Kartoffelsuppe Rezept";Mittel;Mittel;Hoch;https://doclion.github.io/einfache-rezepte/herzhafte-kartoffelsuppe/
"Gulasch Rezept";Hoch;Mittel;Hoch;https://doclion.github.io/einfache-rezepte/klassisches-ungarisches-gulasch/
"One-Pan Rezept";Mittel;Gering;Hoch;https://doclion.github.io/einfache-rezepte/one-pan-haehnchen-paprika/
"Veggie Bowl Rezept";Mittel;Mittel;Mittel;https://doclion.github.io/einfache-rezepte/bunte-veggie-bowl/
"Apfelstrudel Rezept";Hoch;Mittel;Hoch;https://doclion.github.io/einfache-rezepte/klassischer-apfelstrudel/
"Hühnersuppe Rezept";Mittel;Gering;Hoch;https://doclion.github.io/einfache-rezepte/huehnersuppe-wie-vom-kochen/
"American Pancakes Rezept";Mittel;Mittel;Mittel;https://doclion.github.io/einfache-rezepte/dicke-pfannkuchen-american-pancakes/
"Käsekuchen ohne Backen";Mittel;Gering;Hoch;https://doclion.github.io/einfache-rezepte/kaesekuchen-ohne-backen/
"Salatdressing selber machen";Mittel;Gering;Mittel;https://doclion.github.io/einfache-rezepte/selbstgemachte-salatdressings/
"deutsche Küche Rezepte";Hoch;Niedrig;Hoch;https://doclion.github.io/einfache-rezepte
"Fränkische Rezepte";Niedrig;Gering;Mittel;https://doclion.github.io/einfache-rezepte
"Kochen für Anfänger";Hoch;Mittel;Hoch;https://doclion.github.io/einfache-rezepte
